ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:   55000         0.0000         0.0000         0.0000         0.0000          -5654.3440       441.0982         0.0000         0.0000       914.7964          -4298.4494       290.6228     -5213.2458     -4296.6807       292.5447            121.0894       143.6012     22625.7902      -165.1649      -165.3347
ENERGY:   60000         0.0000         0.0000         0.0000         0.0000          -5521.6333       327.8194         0.0000         0.0000       966.1631          -4227.6508       306.9415     -5193.8139     -4224.8984       300.0111           -945.5686      -930.2515     22512.7851      -204.7188      -204.8260
ENERGY:   65000         0.0000         0.0000         0.0000         0.0000          -5584.9533       372.5401         0.0000         0.0000       955.5921          -4256.8210       303.5832     -5212.4132     -4254.1525       296.3767           -683.3627      -664.0883     22658.0198      -180.2767      -180.3259
ENERGY:   70000         0.0000         0.0000         0.0000         0.0000          -5591.7843       424.0112         0.0000         0.0000       975.1144          -4192.6588       309.7853     -5167.7731     -4189.2466       296.8227            249.3171       260.9181     22637.3890      -214.7121      -214.8723
ENERGY:   75000         0.0000         0.0000         0.0000         0.0000          -5540.8905       363.7106         0.0000         0.0000       944.8564          -4232.3235       300.1726     -5177.1799     -4229.2024       301.2342           -486.8336      -466.7456     22722.3721      -180.7764      -180.7834
ENERGY:   80000         0.0000         0.0000         0.0000         0.0000          -5630.6503       405.2043         0.0000         0.0000      1007.1785          -4218.2675       319.9718     -5225.4460     -4216.7567       301.0004           -130.9257      -117.3618     22693.3864      -203.7493      -203.6610
ENERGY:   85000         0.0000         0.0000         0.0000         0.0000          -5596.4615       438.9172         0.0000         0.0000       910.7661          -4246.7783       289.3424     -5157.5443     -4244.9391       301.0639            518.2362       529.9793     22667.5604      -207.1791      -207.2154
ENERGY:   90000         0.0000         0.0000         0.0000         0.0000          -5608.3378       429.2258         0.0000         0.0000       906.4517          -4272.6603       287.9717     -5179.1119     -4270.4329       298.0524           -137.4433      -121.6851     23001.7839      -194.7275      -194.6835
ENERGY:   95000         0.0000         0.0000         0.0000         0.0000          -5591.5267       380.8612         0.0000         0.0000       927.6776          -4282.9879       294.7150     -5210.6655     -4280.7793       296.1353           -264.8595      -249.3854     22849.1235      -245.5207      -245.5880
ENERGY:  100000         0.0000         0.0000         0.0000         0.0000          -5553.5654       382.8056         0.0000         0.0000       940.7292          -4230.0306       298.8614     -5170.7598     -4228.6132       303.1794           -341.2151      -305.1064     22885.3600      -238.9234      -238.9679
ENERGY:  105000         0.0000         0.0000         0.0000         0.0000          -5648.1093       434.0113         0.0000         0.0000       910.3446          -4303.7534       289.2085     -5214.0980     -4301.2513       298.6933            377.0117       409.2547     22750.1315      -289.0325      -288.8589
ENERGY:  110000         0.0000         0.0000         0.0000         0.0000          -5621.5475       416.2373         0.0000         0.0000       915.8746          -4289.4357       290.9653     -5205.3102     -4286.4883       295.8475            144.6733       178.3286     22516.3306      -276.0264      -275.8595
ENERGY:  115000         0.0000         0.0000         0.0000         0.0000          -5656.0209       446.3944         0.0000         0.0000       967.2393          -4242.3872       307.2834     -5209.6265     -4239.9061       302.0547             29.8076        52.9800     23091.7533      -236.9030      -237.1243
ENERGY:  120000         0.0000         0.0000         0.0000         0.0000          -5598.9818       379.4880         0.0000         0.0000       957.6364          -4261.8574       304.2327     -5219.4938     -4259.8119       300.4963            -22.8702        -1.3447     22475.0390      -272.5876      -272.4986
ENERGY:  125000         0.0000         0.0000         0.0000         0.0000          -5633.8678       358.7613         0.0000         0.0000       951.0213          -4324.0852       302.1311     -5275.1065     -4321.8704       298.5100           -800.1041      -780.9458     22836.5441      -218.9150      -219.0133
