# step Etot Epot T p 
416 -4874.1099 -4874.1099 0.0 1246.4404 
417 -4874.4497 -4874.4497 0.0 1237.9937 
418 -4874.5427 -4874.5427 0.0 1234.5 
419 -4874.5721 -4874.5721 0.0 1232.9212 
420 -4874.5828 -4874.5828 0.0 1232.1684 
421 -4874.5873 -4874.5873 0.0 1231.803 
422 -4874.5893 -4874.5893 0.0 1231.6248 
423 -4874.5904 -4874.5904 0.0 1231.5323 
424 -4874.5909 -4874.5909 0.0 1231.4879 
425 -4874.5911 -4874.5911 0.0 1231.4666 
426 -4874.5912 -4874.5912 0.0 1231.456 
427 -4874.11 -4874.11 0.0 1246.4468 
428 -4874.4418 -4874.4418 0.0 1238.2482 
429 -4874.5388 -4874.5388 0.0 1234.6872 
430 -4874.5702 -4874.5702 0.0 1233.038 
431 -4874.582 -4874.582 0.0 1232.2392 
432 -4874.5869 -4874.5869 0.0 1231.847 
433 -4874.589 -4874.589 0.0 1231.6536 
434 -4874.5902 -4874.5902 0.0 1231.5527 
435 -4874.5907 -4874.5907 0.0 1231.5049 
436 -4874.591 -4874.591 0.0 1231.4798 
437 -4874.5911 -4874.5911 0.0 1231.4679 
438 -4874.1094 -4874.1094 0.0 1246.4625 
439 -4874.4427 -4874.4427 0.0 1238.2203 
440 -4874.5392 -4874.5392 0.0 1234.6692 
441 -4874.5704 -4874.5704 0.0 1233.0317 
442 -4874.582 -4874.582 0.0 1232.2407 
443 -4874.5868 -4874.5868 0.0 1231.853 
444 -4874.5889 -4874.5889 0.0 1231.6623 
445 -4874.5901 -4874.5901 0.0 1231.5628 
446 -4874.5906 -4874.5906 0.0 1231.5158 
447 -4874.5909 -4874.5909 0.0 1231.4912 
448 -4874.591 -4874.591 0.0 1231.4795 
449 -4874.1087 -4874.1087 0.0 1246.4778 
450 -4874.4437 -4874.4437 0.0 1238.1924 
451 -4874.5396 -4874.5396 0.0 1234.6513 
452 -4874.5705 -4874.5705 0.0 1233.0254 
453 -4874.582 -4874.582 0.0 1232.242 
454 -4874.5867 -4874.5867 0.0 1231.8589 
455 -4874.5888 -4874.5888 0.0 1231.6707 
456 -4874.59 -4874.59 0.0 1231.5727 
457 -4874.5905 -4874.5905 0.0 1231.5265 
458 -4874.5907 -4874.5907 0.0 1231.5023 
459 -4874.5909 -4874.5909 0.0 1231.4909 
460 -4874.1081 -4874.1081 0.0 1246.4928 
461 -4874.4447 -4874.4447 0.0 1238.1621 
462 -4874.5401 -4874.5401 0.0 1234.6334 
463 -4874.5706 -4874.5706 0.0 1233.019 
464 -4874.5819 -4874.5819 0.0 1232.2433 
465 -4874.5866 -4874.5866 0.0 1231.8646 
466 -4874.5887 -4874.5887 0.0 1231.6789 
467 -4874.5899 -4874.5899 0.0 1231.5824 
468 -4874.5904 -4874.5904 0.0 1231.5369 
469 -4874.5906 -4874.5906 0.0 1231.5143 
470 -4874.5908 -4874.5908 0.0 1231.5019 
471 -4874.1074 -4874.1074 0.0 1246.5074 
472 -4874.4456 -4874.4456 0.0 1238.134 
473 -4874.5405 -4874.5405 0.0 1234.6156 
474 -4874.5707 -4874.5707 0.0 1233.0126 
475 -4874.5819 -4874.5819 0.0 1232.2444 
476 -4874.5866 -4874.5866 0.0 1231.8701 
477 -4874.5886 -4874.5886 0.0 1231.687 
478 -4874.5898 -4874.5898 0.0 1231.5917 
479 -4874.5903 -4874.5903 0.0 1231.547 
480 -4874.5905 -4874.5905 0.0 1231.5249 
481 -4874.5906 -4874.5906 0.0 1231.5139 
482 -4874.1069 -4874.1069 0.0 1246.5205 
483 -4874.4465 -4874.4465 0.0 1238.106 
484 -4874.5409 -4874.5409 0.0 1234.5978 
485 -4874.5708 -4874.5708 0.0 1233.0062 
486 -4874.5819 -4874.5819 0.0 1232.2454 
487 -4874.5865 -4874.5865 0.0 1231.8755 
488 -4874.5885 -4874.5885 0.0 1231.6948 
489 -4874.5895 -4874.5895 0.0 1231.6056 
490 -4874.5902 -4874.5902 0.0 1231.5569 
491 -4874.5904 -4874.5904 0.0 1231.5352 
492 -4874.5905 -4874.5905 0.0 1231.5244 
493 -4874.1063 -4874.1063 0.0 1246.5344 
494 -4874.4475 -4874.4475 0.0 1238.0779 
495 -4874.5413 -4874.5413 0.0 1234.5801 
496 -4874.5709 -4874.5709 0.0 1232.9998 
497 -4874.5819 -4874.5819 0.0 1232.2463 
498 -4874.5865 -4874.5865 0.0 1231.8807 
499 -4874.5885 -4874.5885 0.0 1231.7024 
500 -4874.5894 -4874.5894 0.0 1231.6146 
501 -4874.5901 -4874.5901 0.0 1231.5666 
502 -4874.5903 -4874.5903 0.0 1231.5453 
503 -4874.5904 -4874.5904 0.0 1231.5347 
504 -4874.1064 -4874.1064 0.0 1246.5407 
505 -4874.4395 -4874.4395 0.0 1238.3342 
506 -4874.5373 -4874.5373 0.0 1234.7689 
507 -4874.5691 -4874.5691 0.0 1233.1175 
508 -4874.581 -4874.581 0.0 1232.3178 
509 -4874.586 -4874.586 0.0 1231.925 
510 -4874.5882 -4874.5882 0.0 1231.7313 
511 -4874.5892 -4874.5892 0.0 1231.6351 
512 -4874.5899 -4874.5899 0.0 1231.5824 
513 -4874.5902 -4874.5902 0.0 1231.5585 
514 -4874.5903 -4874.5903 0.0 1231.5466 
515 -4874.1057 -4874.1057 0.0 1246.5564 
516 -4874.4404 -4874.4404 0.0 1238.306 
517 -4874.5377 -4874.5377 0.0 1234.7506 
518 -4874.5692 -4874.5692 0.0 1233.1111 
519 -4874.581 -4874.581 0.0 1232.3191 
520 -4874.5858 -4874.5858 0.0 1231.9333 
521 -4874.5881 -4874.5881 0.0 1231.74 
522 -4874.5891 -4874.5891 0.0 1231.6452 
